created_at,entry_id,co2_ppm,ch4_ppm
2025-08-19 01:35:10-05:00,431,6000.0,5995.3125
2025-08-19 01:35:32-05:00,432,6000.0,5994.60986
2025-08-19 01:35:56-05:00,433,6000.0,5994.60986
2025-08-19 01:36:20-05:00,434,6000.0,5995.3125
2025-08-19 01:36:44-05:00,435,6000.0,5993.90625
2025-08-19 01:37:08-05:00,436,6000.0,5994.60986
2025-08-19 01:37:32-05:00,437,6000.0,5995.3125
2025-08-19 01:37:56-05:00,438,6000.0,5993.90625
2025-08-19 01:38:20-05:00,439,6000.0,5994.60986
2025-08-19 01:38:45-05:00,440,6000.0,5995.3125
2025-08-19 01:39:08-05:00,441,6000.0,5993.90625
2025-08-19 01:39:33-05:00,442,6000.0,5995.3125
2025-08-19 01:39:57-05:00,443,6000.0,5994.60986
2025-08-19 01:40:46-05:00,444,6000.0,5995.3125
2025-08-19 01:41:09-05:00,445,6000.0,5993.90625
2025-08-19 01:41:36-05:00,446,6000.0,5995.3125
2025-08-19 01:41:57-05:00,447,6000.0,5995.3125
2025-08-19 01:42:22-05:00,448,6000.0,5993.90625
2025-08-19 01:42:46-05:00,449,6000.0,5995.3125
2025-08-19 01:43:09-05:00,450,6000.0,5993.90625
2025-08-19 01:43:35-05:00,451,6000.0,5994.60986
2025-08-19 01:43:57-05:00,452,6000.0,5995.3125
2025-08-19 01:44:22-05:00,453,6000.0,5993.90625
2025-08-19 01:44:46-05:00,454,6000.0,5995.3125
2025-08-19 01:45:10-05:00,455,6000.0,5995.3125
2025-08-19 01:45:35-05:00,456,6000.0,5994.60986
2025-08-19 01:45:58-05:00,457,6000.0,5995.3125
2025-08-19 01:46:22-05:00,458,6000.0,5993.90625
2025-08-19 01:46:46-05:00,459,6000.0,5994.60986
2025-08-19 01:47:10-05:00,460,6000.0,5995.3125
2025-08-19 01:47:34-05:00,461,6000.0,5994.60986
2025-08-19 01:47:58-05:00,462,6000.0,5995.3125
2025-08-19 01:48:22-05:00,463,6000.0,5994.60986
2025-08-19 01:48:49-05:00,464,6000.0,5994.60986
2025-08-19 01:49:10-05:00,465,6000.0,5995.3125
2025-08-19 01:49:34-05:00,466,6000.0,5994.60986
2025-08-19 01:50:01-05:00,467,6000.0,5994.60986
2025-08-19 01:50:22-05:00,468,6000.0,5995.3125
2025-08-19 01:51:11-05:00,469,6000.0,5994.60986
2025-08-19 01:51:34-05:00,470,6000.0,5995.3125
2025-08-19 01:52:01-05:00,471,6000.0,5994.60986
2025-08-19 01:52:22-05:00,472,6000.0,5995.3125
2025-08-19 01:52:47-05:00,473,6000.0,5995.3125
2025-08-19 01:53:11-05:00,474,6000.0,5994.60986
2025-08-19 01:53:35-05:00,475,6000.0,5995.3125
2025-08-19 01:53:59-05:00,476,6000.0,5994.60986
2025-08-19 01:54:23-05:00,477,6000.0,5995.3125
2025-08-19 01:54:47-05:00,478,6000.0,5995.3125
2025-08-19 01:55:11-05:00,479,6000.0,5993.90625
2025-08-19 01:55:35-05:00,480,6000.0,5995.3125
2025-08-19 01:56:02-05:00,481,6000.0,5994.60986
2025-08-19 01:56:23-05:00,482,6000.0,5994.60986
2025-08-19 01:56:47-05:00,483,6000.0,5996.01562
2025-08-19 01:57:11-05:00,484,6000.0,5994.60986
2025-08-19 01:57:35-05:00,485,6000.0,5995.3125
2025-08-19 01:58:03-05:00,486,6000.0,5995.3125
2025-08-19 01:58:24-05:00,487,6000.0,5994.60986
2025-08-19 01:58:48-05:00,488,6000.0,5995.3125
2025-08-19 01:59:12-05:00,489,6000.0,5994.60986
2025-08-19 01:59:36-05:00,490,6000.0,5996.01562
2025-08-19 02:00:00-05:00,491,6000.0,5995.3125
2025-08-19 02:00:24-05:00,492,6000.0,5994.60986
2025-08-19 02:00:48-05:00,493,6000.0,5995.3125
2025-08-19 02:01:12-05:00,494,6000.0,5994.60986
2025-08-19 02:01:36-05:00,495,6000.0,5994.60986
2025-08-19 02:02:03-05:00,496,6000.0,5995.3125
2025-08-19 02:02:25-05:00,497,6000.0,5994.60986
2025-08-19 02:02:48-05:00,498,6000.0,5994.60986
2025-08-19 02:03:12-05:00,499,6000.0,5995.3125
2025-08-19 02:03:36-05:00,500,6000.0,5994.60986
2025-08-19 02:04:03-05:00,501,6000.0,5995.3125
2025-08-19 02:04:24-05:00,502,6000.0,5995.3125
2025-08-19 02:04:48-05:00,503,6000.0,5994.60986
2025-08-19 02:05:16-05:00,504,6000.0,5995.3125
2025-08-19 02:05:37-05:00,505,6000.0,5995.3125
2025-08-19 02:06:01-05:00,506,6000.0,5994.60986
2025-08-19 02:06:25-05:00,507,6000.0,5995.3125
2025-08-19 02:06:50-05:00,508,6000.0,5995.3125
2025-08-19 02:07:13-05:00,509,6000.0,5994.60986
2025-08-19 02:07:39-05:00,510,6000.0,5995.3125
2025-08-19 02:08:01-05:00,511,6000.0,5994.60986
2025-08-19 02:08:25-05:00,512,6000.0,5994.60986
2025-08-19 02:08:49-05:00,513,6000.0,5995.3125
2025-08-19 02:09:13-05:00,514,6000.0,5994.60986
2025-08-19 02:09:37-05:00,515,6000.0,5996.01562
2025-08-19 02:10:04-05:00,516,6000.0,5995.3125
2025-08-19 02:10:28-05:00,517,6000.0,5994.60986
2025-08-19 02:10:49-05:00,518,6000.0,5995.3125
2025-08-19 02:11:13-05:00,519,6000.0,5995.3125
2025-08-19 02:11:38-05:00,520,6000.0,5993.90625
2025-08-19 02:12:01-05:00,521,6000.0,5995.3125
2025-08-19 02:12:25-05:00,522,6000.0,5993.90625
2025-08-19 02:12:49-05:00,523,6000.0,5994.60986
2025-08-19 02:13:14-05:00,524,6000.0,5995.3125
2025-08-19 02:13:37-05:00,525,6000.0,5993.90625
2025-08-19 02:14:04-05:00,526,6000.0,5995.3125
2025-08-19 02:14:26-05:00,527,6000.0,5995.3125
2025-08-19 02:14:50-05:00,528,6000.0,5993.90625
2025-08-19 02:15:14-05:00,529,6000.0,5995.3125
2025-08-19 02:15:38-05:00,530,6000.0,5995.3125
2025-08-19 02:16:02-05:00,531,6000.0,5994.60986
2025-08-19 02:16:26-05:00,532,6000.0,5995.3125
2025-08-19 02:16:50-05:00,533,6000.0,5994.60986
2025-08-19 02:17:14-05:00,534,6000.0,5995.3125
2025-08-19 02:17:39-05:00,535,6000.0,5995.3125
2025-08-19 02:18:02-05:00,536,6000.0,5994.60986
2025-08-19 02:18:26-05:00,537,6000.0,5995.3125
2025-08-19 02:18:50-05:00,538,6000.0,5993.90625
2025-08-19 02:19:15-05:00,539,6000.0,5993.90625
2025-08-19 02:19:38-05:00,540,6000.0,5995.3125
2025-08-19 02:20:03-05:00,541,6000.0,5993.90625
2025-08-19 02:20:30-05:00,542,6000.0,5995.3125
2025-08-19 02:20:51-05:00,543,6000.0,5995.3125
2025-08-19 02:21:15-05:00,544,6000.0,5994.60986
2025-08-19 02:21:42-05:00,545,6000.0,5995.3125
2025-08-19 02:22:03-05:00,546,6000.0,5994.60986
